...1,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,346433,386129,421361,459820,687503,937014,1145884,1517806,2082332,2487082,2613111,2603802,2743065,2587057
　　存放同业和其它金融机构款项,20145,14268,16355,18878,25469,16432,62668,61693,77893,131874,262233,397678,572805,697923
　　贵金属,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19185,20188,40909
　　拆出资金,72568,56074,53616,40694,77259,52498,44479,49435,95375,212683,223380,308655,407062,504252
　　交易性金融资产,NA,NA,NA,NA,NA,17205,40017,112176,50257,68052,178555,322882,414660,439261
　　衍生金融资产,NA,NA,NA,NA,NA,10207,7151,4678,9173,8524,4825,8186,7195,16038
　　买入返售金融资产,NA,NA,NA,NA,NA,144848,246370,421093,525331,529440,814620,737052,509418,471809
　　应收利息,61720,56933,37411,10049,2793,23783,29950,32127,38641,48655,59993,75022,97948,104775
　　发放贷款及垫款,1889150,2239897,2557693,2793266,3102309,2709192,3014984,4011495,4788008,5398863,6153411,6902522,7739996,8506675
NA,2023438,2296830,2595104,2803315,3105102,2732975,3044934,4043622,4826649,5447518,6213404,6977544,7837944,8611450
　　可供出售金融资产,NA,NA,NA,NA,NA,529203,800013,730180,668503,651198,755503,781311,927903,1214542
　　持有至到期投资,NA,NA,NA,NA,NA,532816,576323,883915,1036658,1178888,1308796,1523815,1710950,2300824
　　长期股权投资,NA,NA,NA,NA,NA,363,347,343,141,134,108,1,NA,273
　　应收款项类投资,420224,576267,773052,1257059,1306407,229743,892532,890199,772013,729914,608594,592090,522117,557420
　　固定资产,66480,69120,70880,72752,74892,76450,103883,111973,121391,131815,141490,150859,154950,156178
　　无形资产,NA,NA,NA,NA,NA,2115,27000,26642,26294,25730,26598,26484,26117,25776
　　商誉,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1381,1381,1381,1381
　　递延所得税资产,NA,NA,NA,NA,NA,11524,17107,19659,31470,45698,56949,74075,78640,81548
　　其他资产,73138,74013,63010,57111,49628,12113,5643,9174,13926,29027,34795,37102,39757,84752
资产差额(特殊报表科目),26708,21315,20391,61390,17683,NA,NA,NA,NA,NA,NA,NA,NA,NA
资产总计,2976566,3494016,4013769,4771019,5343943,5305506,7014351,8882588,10337406,11677577,13244342,14562102,15974152,17791393
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,141128,138652,137640,200201,186702,296618,289772,573949,526250,615281,784352,729354,831141,1221901
　　向中央银行借款,152958,151896,151706,150738,150660,150867,314,58,30,50,66,104,80121,60599
