...1,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,2569.54,3069.95,4264.13,4767.09,6603.64,8990.52,9778.49,12126.62,12272.2,12927.06
　　存放同业和其它金融机构款项,2505.35,1643.78,2368.6,2330.08,1877.15,2017.74,1430.49,3426.51,2805.54,996.08
　　拆出资金,NA,NA,NA,NA,NA,NA,100,NA,NA,110.4
　　买入返售金融资产,NA,NA,427.7,NA,NA,2246,900,5112,1548.9,1849
　　应收利息,NA,NA,97.92,109.27,131.79,175.81,182.33,280.01,290.58,314.02999999999997
　　发放贷款及垫款,NA,NA,15796.61,19323.78,24767.46,29938.39,34828.93,38189.040000000001,42979.68,46800.83
NA,NA,NA,15894.53,19433.05,24899.25,30114.2,35011.26,38469.050000000003,43270.26,47114.86
　　可供出售金融资产,NA,NA,412.76,706.31,315.3,1496.78,452,6002.9,5147.3999999999996,10434.719999999999
　　持有至到期投资,NA,NA,4209.71,4227.01,7166.41,7246.02,7652.22,7096.52,9621.02,8469.52
　　长期股权投资,NA,NA,0.97,22.35,29.1,29.1,120.69,129.35,141.38999999999999,154.47999999999999
　　应收款项类投资,NA,NA,NA,NA,NA,NA,50,50,50,249.99
　　固定资产,NA,NA,256.57,320.43,372.1,446.23,535.22,582.39,570.5,600.47
　　无形资产,NA,NA,78.209999999999994,70.59,58.59,66.11,76.63,78.849999999999994,79.13,82.99
　　递延所得税资产,NA,NA,64.55,73.91,49.92,97.79,114.32,269.18,387.06,427.96
　　投资性房地产,NA,NA,NA,NA,NA,NA,NA,NA,90.16,84.9
　　其他资产,NA,NA,118.5,107.63,200.43,69.650000000000006,74.819999999999993,66.64,60.67,84.58
资产差额(合计平衡项目),NA,NA,NA,NA,NA,NA,0,0,0,0
资产总计,20338.78,25416.36,28096.25,32058.44,41571.89,52820.15,56296.14,73410,76044.23,83587
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,179.16,160.47,1103.8399999999999,115.5,0.03,800,NA,2000,525.6,336.28
　　向中央银行借款,NA,NA,NA,NA,NA,NA,10,120,21,474.11
　　拆入资金,NA,NA,NA,NA,NA,26.42,63.01,NA,43.28,NA
　　卖出回购金融资产款,NA,NA,NA,700,2300.8000000000002,3200,3422.16,11697.7,10015,11084.6
　　吸收存款,NA,NA,23623.21,28317.48,35841,44512.93,47647.68,53271.73,58332.1,63083.42
NA,NA,NA,24727.05,29132.98,38141.83,48539.35,51142.85,67089.430000000008,68936.98,74978.41
　　应付职工薪酬,NA,NA,59.02,53.72,85.78,130.07,29.96,168.01,179.12,298.55
　　应交税费,51.98,73.53,145.88,57.54,47.21,116.34,160.59,142.63999999999999,86.01,114.21
　　应付利息,NA,NA,187.54,293.10000000000002,252.65,320.14,472.21,846.39,1036.99,1569.41
　　递延所得税负债,NA,NA,26.26,24.73,25.13,22.87,21.94,21.01,20.079999999999998,28.59
　　预计负债,2027.76,1793.18,NA,NA,NA,NA,NA,NA,NA,NA
　　其他负债,NA,NA,1392.97,326.95999999999998,301.81,135.1,52.71,83.27,74.81,49.81
　　负债差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA,NA,0
　　负债合计,19584.810000000001,24233.99,26538.720000000001,29889.03,38854.410000000003,49263.86,51880.25,68350.75,70333.98,77038.990000000005
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,246.32,520.21,520.21,624.26,686.68,1133.03,1133.03,1133.03,1246.33,1246.33
　　资本公积金,34.67,34.67,4.9400000000000004,-1.52,4,-40.619999999999997,2.88,NA,NA,NA
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,-1.62,-208.53,32.24
　　盈余公积金,472.98,440.91,494.75,779.37,841.92,705.5,1174.8900000000001,1461,1558.32,2087.5
　　未分配利润,NA,NA,357.43,539.26,846.74,1131.95,1404.71,1658.83,1877.97,1767.99
　　一般风险准备,NA,186.57,180.2,180.2,289.14999999999998,445.65,507.81,569.37,973.07,1126.19
　　股权权益差额(合计平衡项目),NA,NA,NA,NA,NA,NA,0,0,0,0
　　归属于母公司所有者权益合计,753.97,1182.3699999999999,1557.52,2121.5700000000002,2668.48,3375.5,4223.32,4820.6000000000004,5447.16,6260.25
　　少数股东权益,NA,NA,NA,47.85,49,180.78,192.57,238.65,263.08999999999997,287.76
　　所有者权益合计,753.97,1182.3699999999999,1557.52,2169.41,2717.47,3556.28,4415.8900000000003,5059.25,5710.25,6548.02
负债及股东权益差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA,NA,0
负债及股东权益总计,20338.78,25416.36,28096.25,32058.44,41571.89,52820.15,56296.14,73410,76044.23,83587
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,NA,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-07-02,2008-07-02,2008-07-02,2009-05-08,2010-03-25,2011-05-27,2014-06-30,2015-12-21,2015-12-21,2015-12-21
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
