...1,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31
报告期,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,2893.7,2559.44,3717.06,6114.34,8350.34,10840.38,13578.5
　　存放同业和其它金融机构款项,588.28,1929.37,761.34,3090.91,12739.4,9068.8799999999992,12689.21
　　拆出资金,16.54,16.54,16.54,386.9,16.54,326.29000000000002,200
　　交易性金融资产,NA,NA,NA,NA,1020.5,733.49,637.32000000000005
　　买入返售金融资产,NA,864.85,9715.07,4371.24,3011.07,11319.59,2646.6
　　应收利息,1.39,16.79,68.02,96.63,182.04,346.4,274.27999999999997
　　发放贷款及垫款,4518.59,7443.02,9087.1200000000008,11055.84,14672.55,18060.419999999998,23663.09
NA,4519.9800000000005,7459.81,9155.1400000000012,11152.47,NA,NA,NA
　　可供出售金融资产,NA,NA,NA,965.55,529.19000000000005,565.88,5627.22
　　持有至到期投资,366.76,466.81,1340.23,4839.8100000000004,9450.4699999999993,20040.05,19675.669999999998
　　长期股权投资,NA,NA,NA,21,NA,NA,NA
　　固定资产,60.72,82.08,104.87,108.87,168.97,188.9,177.57
　　无形资产,NA,NA,2.1,5.23,5.79,19.71,20.6
　　递延所得税资产,NA,NA,NA,NA,NA,NA,127.08
　　其他资产,309.33,233.81,502.75,632.69000000000005,780.75,982.28,2555.35
资产差额(合计平衡项目),0,NA,NA,NA,NA,NA,NA
资产总计,8755.32,13612.71,25315.1,31689.01,50927.61,72492.27,81872.47
负债：,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,6.24,8.6199999999999992,2121.17,1273.8699999999999,3123.78,6491.54,2233.39
　　向中央银行借款,NA,NA,500,500,NA,8.5,730
　　拆入资金,0.5,200.5,0.5,0.5,420.5,499.3,590.5
　　卖出回购金融资产款,NA,59.8,2287.9899999999998,1200,8685.77,15223.16,10401.030000000001
　　吸收存款,8140.88,12354.02,18484.59,25958.65,35318.120000000003,45079.34,59724.66
NA,8147.62,12622.94,23394.25,28933.02,47548.170000000006,67301.84,73679.58
　　应付职工薪酬,8.08,19.54,38.93,72.680000000000007,70.17,75.05,141.33000000000001
　　应交税费,17.86,12.21,18.89,71.89,45.16,52.65,115.05
　　应付利息,30.01,43.73,75.819999999999993,131.91,318.08,551.83000000000004,823.5
　　应付债券,NA,NA,NA,NA,NA,NA,493.19
　　递延所得税负债,NA,NA,NA,NA,NA,NA,6.32
　　其他负债,141.13,120.75,741.16,341.9,234.5,252.51,1625.3
　　负债差额(合计平衡项目),0,NA,NA,NA,NA,NA,NA
　　负债合计,8344.7099999999991,12819.17,24269.05,29551.4,48216.08,68233.87,76884.28
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA
　　股本,213.12,494.43,494.43,1142.4100000000001,1142.4100000000001,2376.2199999999998,2376.2199999999998
　　资本公积金,NA,NA,NA,270.29000000000002,239.7,625.47,626.67999999999995
　　其它综合收益,NA,NA,NA,NA,NA,NA,18.96
　　盈余公积金,56.5,83.48,111.97,159.35,224.6,304.08,411.3
　　未分配利润,56.66,60.09,284.12,399.59,713.84,443.08,823.52
　　一般风险准备,84.32,155.53,155.53,165.96,364.34,483.31,703.57
　　归属于母公司所有者权益合计,410.61,793.54,1046.05,2137.61,2684.89,4232.16,4960.25
　　少数股东权益,NA,NA,NA,NA,26.64,26.24,27.94
　　所有者权益合计,410.61,793.54,1046.05,2137.61,2711.53,4258.3999999999996,4988.1899999999996
负债及股东权益总计,8755.32,13612.71,25315.1,31689.01,50927.61,72492.27,81872.47
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,NA,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2010-04-28,2010-04-28,2011-05-13,2012-09-12,2013-04-28,2014-04-30,2015-05-15
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA
